From Date,To Date,PM2.5,SO2,CO
01-01-2023 00:00,02-01-2023 00:00,99.83,37.3,1.36
02-01-2023 00:00,03-01-2023 00:00,113.08,38.82,1.69
03-01-2023 00:00,04-01-2023 00:00,123.98,39.52,1.77
04-01-2023 00:00,05-01-2023 00:00,116.1,39.69,1.72
05-01-2023 00:00,06-01-2023 00:00,139.76,40.18,2.09
06-01-2023 00:00,07-01-2023 00:00,131.33,40.28,1.94
07-01-2023 00:00,08-01-2023 00:00,121.28,40.14,1.73
08-01-2023 00:00,09-01-2023 00:00,99.45,40.81,1.58
09-01-2023 00:00,10-01-2023 00:00,58.99,42.02,1.47
10-01-2023 00:00,11-01-2023 00:00,53.85,43.17,1.57
11-01-2023 00:00,12-01-2023 00:00,103.25,41.59,1.64
12-01-2023 00:00,13-01-2023 00:00,62.6,36.91,1.16
13-01-2023 00:00,14-01-2023 00:00,46.24,38.84,0.55
14-01-2023 00:00,15-01-2023 00:00,61.47,40.26,0.56
15-01-2023 00:00,16-01-2023 00:00,101.94,42.62,1.03
16-01-2023 00:00,17-01-2023 00:00,107.28,45.8,1.32
17-01-2023 00:00,18-01-2023 00:00,126.5,49.61,1.49
18-01-2023 00:00,19-01-2023 00:00,167.91,46.17,1.71
19-01-2023 00:00,20-01-2023 00:00,152.02,45.08,2.07
20-01-2023 00:00,21-01-2023 00:00,104.24,42.14,1.35
21-01-2023 00:00,22-01-2023 00:00,71.66,41.46,0.97
22-01-2023 00:00,23-01-2023 00:00,58.29,41.24,0.7
23-01-2023 00:00,24-01-2023 00:00,74.95,44.94,0.92
24-01-2023 00:00,25-01-2023 00:00,87.75,43.78,1.06
25-01-2023 00:00,26-01-2023 00:00,99.8,42.74,0.97
26-01-2023 00:00,27-01-2023 00:00,118.12,43.02,1.01
27-01-2023 00:00,28-01-2023 00:00,130.41,47.69,1.47
28-01-2023 00:00,29-01-2023 00:00,79.87,49.94,1.73
29-01-2023 00:00,30-01-2023 00:00,95.13,48.96,1.08
30-01-2023 00:00,31-01-2023 00:00,84.52,53.83,0.9
31-01-2023 00:00,01-02-2023 00:00,115.34,57.39,1.13
01-02-2023 00:00,02-02-2023 00:00,98.44,50.23,1.17
02-02-2023 00:00,03-02-2023 00:00,75,45.38,0.79
03-02-2023 00:00,04-02-2023 00:00,85.86,43.3,1.15
04-02-2023 00:00,05-02-2023 00:00,81,43.98,1.46
05-02-2023 00:00,06-02-2023 00:00,81,41.28,1.6
06-02-2023 00:00,07-02-2023 00:00,81,44.8,1.06
07-02-2023 00:00,08-02-2023 00:00,81,41.65,0.82
08-02-2023 00:00,09-02-2023 00:00,81,42.81,1.42
09-02-2023 00:00,10-02-2023 00:00,81,47.83,2.12
10-02-2023 00:00,11-02-2023 00:00,81,45.79,1.15
11-02-2023 00:00,12-02-2023 00:00,81,39.99,2.58
12-02-2023 00:00,13-02-2023 00:00,None,40.34,2.38
13-02-2023 00:00,14-02-2023 00:00,None,40.65,1.42
14-02-2023 00:00,15-02-2023 00:00,None,43.74,1.57
15-02-2023 00:00,16-02-2023 00:00,None,44.47,1.64
16-02-2023 00:00,17-02-2023 00:00,None,43.83,1.81
17-02-2023 00:00,18-02-2023 00:00,None,43.54,2.04
18-02-2023 00:00,19-02-2023 00:00,None,43.76,1.62
19-02-2023 00:00,20-02-2023 00:00,None,43.47,1.79
20-02-2023 00:00,21-02-2023 00:00,None,42.54,1.65
21-02-2023 00:00,22-02-2023 00:00,None,42.13,1.38
22-02-2023 00:00,23-02-2023 00:00,None,42.26,0.92
23-02-2023 00:00,24-02-2023 00:00,None,43.73,1.25
24-02-2023 00:00,25-02-2023 00:00,None,45.27,1.64
25-02-2023 00:00,26-02-2023 00:00,None,44.93,1.34
26-02-2023 00:00,27-02-2023 00:00,None,44.44,1.47
27-02-2023 00:00,28-02-2023 00:00,None,45.05,1.56
28-02-2023 00:00,01-03-2023 00:00,None,46.22,1.55
01-03-2023 00:00,02-03-2023 00:00,None,48.24,1.83
02-03-2023 00:00,03-03-2023 00:00,None,50.1,2.06
03-03-2023 00:00,04-03-2023 00:00,None,47.35,2.51
04-03-2023 00:00,05-03-2023 00:00,None,42.97,2.71
05-03-2023 00:00,06-03-2023 00:00,None,40.43,2.52
06-03-2023 00:00,07-03-2023 00:00,None,42.57,1.1
07-03-2023 00:00,08-03-2023 00:00,None,39.84,1.01
08-03-2023 00:00,09-03-2023 00:00,None,41.12,1.35
09-03-2023 00:00,10-03-2023 00:00,None,42.51,1.41
10-03-2023 00:00,11-03-2023 00:00,None,42.69,1.07
11-03-2023 00:00,12-03-2023 00:00,None,46.72,1.38
12-03-2023 00:00,13-03-2023 00:00,None,46.41,1.58
